序号,品牌,名称,类型,出厂年份,颜色,价格,电池得分,外观得分,硬盘容量得分,价格得分,处理器得分,屏幕分辨率得分,尺寸得分,重量
99,HP,惠普 Pavilion,轻薄本,2018,sliver white pink gold,5199,0.49837,0.56749,0.79429,0.38563,0.49461,0.5,0.4892,2.3
100,HP,惠普 Pavilion,轻薄本,2018,sliver white pink gold,6099,0.49837,0.56749,0.79429,0.42084,0.58124,0.5,0.4892,2.3
101,HP,惠普 ENVY13,轻薄本,2018,sliver,6499,0.5246,0.56749,0.8445,0.43734,0.55241,0.5,0.45966,2.3
102,HP,惠普 ENVY13,轻薄本,2018,sliver,6999,0.5246,0.56749,0.8445,0.45962,0.55241,0.5,0.45966,2.3
103,HP,惠普 ENVY13,轻薄本,2018,sliver,8499,0.50168,0.56749,0.79429,0.52108,0.6708,0.5,0.67524,3
104,HP,惠普 ENVY13,轻薄本,2018,sliver,7499,0.50168,0.56749,0.79429,0.48065,0.55241,0.5,0.67524,3
105,小米,RedmiBook 14,轻薄本,2019,sliver,4499,0.49837,0.5,0.79429,0.35683,0.55241,0.5,0.4892,2.26
106,小米,RedmiBook 14,轻薄本,2019,sliver,5399,0.49837,0.5,0.79429,0.39339,0.6708,0.5,0.4892,2.26
107,小米,RedmiBook 14,轻薄本,2019,sliver,4999,0.49837,0.5,0.8445,0.37773,0.55241,0.5,0.4892,2.26
108,小米,RedmiBook 14,轻薄本,2019,sliver,4399,0.49837,0.5,0.65422,0.3523,0.55241,0.5,0.4892,2.26
109,小米,小米Air13.3,轻薄本,2018,sliver,4999,0.49837,0.5,0.65422,0.37773,0.49461,0.5,0.45966,2.44
110,小米,小米Air13.3,轻薄本,2018,sliver blue,5999,0.49837,0.56749,0.65422,0.41683,0.6708,0.5,0.45966,2.46
111,小米,小米Pro,轻薄本,2019,grey,5899,0.50168,0.56749,0.79429,0.41286,0.55241,0.5,0.67524,3.3
112,小米,小米Pro,轻薄本,2019,grey,6799,0.50168,0.56749,0.8445,0.45059,0.55241,0.5,0.67524,3.38
113,小米,小米Pro,轻薄本,2019,grey,7299,0.50168,0.56749,0.79429,0.47253,0.60001,0.5,0.67524,3.3
114,小米,小米Pro,轻薄本,2019,grey,7999,0.50168,0.56749,0.8445,0.49996,0.60001,0.5,0.67524,3.4
115,小米,小米Pro,轻薄本,2018,grey,5599,0.50168,0.56749,0.65422,0.40112,0.55241,0.5,0.67524,3.3
116,小米,RedmiBook 14 锐龙版,轻薄本,2018,grey,3699,0.49837,0.56749,0.65422,0.31306,0.49461,0.5,0.4892,2.28
117,小米,RedmiBook 14 锐龙版,轻薄本,2018,grey,4499,0.49837,0.56749,0.79429,0.35683,0.6,0.5,0.4892,2.28
118,小米,Ruby 2019款 15.6,轻薄本,2019,black,4299,0.42769,0.56749,0.79429,0.34756,0.55241,0.5,0.67524,3.28
119,小米,Ruby 2019款 15.6,轻薄本,2019,black,4899,0.42769,0.56749,0.79429,0.37371,0.6708,0.5,0.67524,3.31
120,小米,Ruby 2019款 15.6,轻薄本,2019,black,4999,0.42769,0.56749,0.79429,0.37773,0.60001,0.5,0.67524,3.33
121,华为,荣耀MagicBook 2019（Linux版）,轻薄本,2019,sliver grey,3999,0.47998,0.5,0.79429,0.33181,0.54328,0.5,0.4892,2.06
122,华为,荣耀MagicBook 2019（Linux版）,轻薄本,2019,sliver grey,4699,0.47998,0.5,0.79429,0.36548,0.55241,0.5,0.4892,2.06
123,华为,荣耀MagicBook 2019（Linux版）,轻薄本,2019,sliver grey,5399,0.47998,0.5,0.79429,0.39339,0.6708,0.5,0.4892,2.06
124,华为,荣耀MagicBook Pro2019（Linux版）,轻薄本,2019,sliver grey,4399,0.42769,0.56749,0.79429,0.3523,0.54328,0.5,0.71747,2.36
125,华为,荣耀MagicBook Pro2019（Linux版）,轻薄本,2019,sliver grey,4899,0.42769,0.56749,0.79429,0.37371,0.62807,0.5,0.71747,2.36
126,华为,荣耀MagicBook Pro2019（Linux版）,轻薄本,2019,sliver grey,5199,0.42769,0.56749,0.79429,0.38563,0.55241,0.5,0.71747,2.4
127,华为,荣耀MagicBook Pro2019（Linux版）,轻薄本,2019,sliver grey,5899,0.42769,0.56749,0.79429,0.41286,0.6708,0.5,0.71747,2.4
128,华为,荣耀MagicBook Pro2019,轻薄本,2019,sliver grey,6399,0.42769,0.56749,0.79429,0.43311,0.6708,0.5,0.71747,2.4
129,华为,荣耀MagicBook Pro2019,轻薄本,2019,sliver grey,7999,0.42769,0.56749,0.8445,0.49996,0.60001,0.5,0.71747,2.4
130,华为,荣耀MagicBook Pro2019,轻薄本,2019,sliver grey,5499,0.42769,0.56749,0.79429,0.39725,0.55241,0.5,0.71747,2.4
131,华为,荣耀MagicBook Pro2019,轻薄本,2019,sliver grey,6099,0.42769,0.56749,0.79429,0.42084,0.6,0.5,0.71747,2.4
132,华为,HUAWEI MateBook14 Linux版,轻薄本,2019,sliver grey,5699,0.49837,0.62201,0.79429,0.405,0.55241,0.52268,0.4892,2.22
133,华为,HUAWEI MateBook14 Linux版,轻薄本,2019,sliver grey,6699,0.49837,0.62201,0.79429,0.44607,0.6708,0.52268,0.4892,2.22
134,华为,HUAWEI  MateBook X Pro,高端本,2019,sliver grey gold ,8699,0.61307,0.65758,0.79429,0.53118,0.55241,0.67633,0.48253,2.177
135,华为,HUAWEI  MateBook X Pro,高端本,2019,sliver grey gold ,9699,0.61307,0.65758,0.79429,0.60392,0.6708,0.67633,0.48253,2.177
136,华为,HUAWEI MateBook D,轻薄本,2018,sliver grey,4988,0.47998,0.56749,0.79429,0.3773,0.55241,0.5,0.67524,2.72
137,华为,HUAWEI MateBook D,轻薄本,2018,sliver grey,5788,0.47998,0.56749,0.79429,0.40849,0.6708,0.5,0.67524,2.72
138,华为,HUAWEI MateBook 13,轻薄本,2019,sliver grey,5399,0.50168,0.65758,0.79429,0.39339,0.55241,0.52268,0.45689,2.1
